Date,Open,High,Low,Close,Volume
2002-01-02,52666.66796875,55333.33203125,51833.33203125,54333.33203125,153300
2002-01-03,54333.33203125,54333.33203125,54333.33203125,54333.33203125,0
2002-01-04,55000.0,56833.33203125,54333.33203125,55666.66796875,188400
2002-01-07,55666.66796875,55833.33203125,54000.0,54000.0,55800
2002-01-08,53666.66796875,58333.33203125,53166.66796875,56666.66796875,278400
2002-01-09,57500.0,61333.33203125,57000.0,61333.33203125,356700
2002-01-10,62333.33203125,62333.33203125,58833.33203125,59000.0,152400
2002-01-11,59500.0,60833.33203125,56500.0,57666.66796875,103500
2002-01-14,57666.66796875,64500.0,57666.66796875,64500.0,195900
2002-01-15,63666.66796875,64833.33203125,60333.33203125,61333.33203125,206400
2002-01-16,61666.66796875,63000.0,59666.66796875,61333.33203125,86100
2002-01-17,60000.0,61333.33203125,59000.0,61333.33203125,69000
2002-01-18,60166.66796875,61333.33203125,59333.33203125,59333.33203125,78000
2002-01-21,57500.0,60500.0,57500.0,60333.33203125,96600
2002-01-22,60666.66796875,66166.6640625,60666.66796875,64000.0,184200
2002-01-23,62333.33203125,64500.0,62333.33203125,64000.0,145800
2002-01-24,66333.3359375,71666.6640625,65500.0,68333.3359375,535800
2002-01-25,72666.6640625,76500.0,71666.6640625,76500.0,381900
2002-01-28,80000.0,85666.6640625,77000.0,78166.6640625,513000
2002-01-29,76666.6640625,77000.0,71500.0,71833.3359375,300000
2002-01-30,71833.3359375,73000.0,67833.3359375,70000.0,417600
2002-01-31,70000.0,70000.0,70000.0,70000.0,0
2002-02-01,68333.3359375,70833.3359375,68166.6640625,68500.0,212400
2002-02-04,67000.0,71000.0,66833.3359375,67000.0,111000
2002-02-05,65166.66796875,69166.6640625,65000.0,68166.6640625,152700
2002-02-06,67333.3359375,71000.0,67333.3359375,69333.3359375,131700
2002-02-07,69166.6640625,70333.3359375,65500.0,65500.0,165300
2002-02-08,65500.0,66500.0,62166.66796875,64000.0,280200
2002-02-11,64000.0,64000.0,64000.0,64000.0,0
2002-02-12,64000.0,64000.0,64000.0,64000.0,0
2002-02-13,64000.0,64000.0,64000.0,64000.0,0
2002-02-14,65500.0,68833.3359375,65000.0,67833.3359375,206100
2002-02-15,66833.3359375,69833.3359375,66666.6640625,68666.6640625,120600
2002-02-18,68666.6640625,70666.6640625,68666.6640625,69833.3359375,186000
2002-02-19,70000.0,70833.3359375,66333.3359375,66666.6640625,219900
2002-02-20,65166.66796875,66500.0,63333.33203125,65666.6640625,224100
2002-02-21,65666.6640625,67000.0,64833.33203125,65666.6640625,167100
2002-02-22,64500.0,66333.3359375,64166.66796875,65833.3359375,116400
2002-02-25,66000.0,66500.0,63166.66796875,63666.66796875,258300
2002-02-26,64333.33203125,65000.0,63333.33203125,63666.66796875,147600
